Ssiderea046003	factor 19
Ssiderea057867	Cubilin (intrinsic factor-cobalamin receptor)
Ssiderea003140	thyroid hormone transmembrane transporter activity
Ssiderea038088	ATPase activity, coupled to transmembrane movement of substances
Ssiderea025912	transcription initiation from RNA polymerase II promoter
Ssiderea058424	Serpentine type 7TM GPCR chemoreceptor Srw
Ssiderea027088	G-protein coupled receptor activity
Ssiderea014923	structural constituent of cuticle
Ssiderea046260	zinc ion binding
Ssiderea038125	calcium ion binding
Ssiderea016624	S-adenosylmethioninamine biosynthetic process
Ssiderea051815	F-box and leucine-rich repeat protein 15
Ssiderea042905	cell surface receptor signaling pathway
Ssiderea033775	zinc ion binding
Ssiderea014798	Belongs to the TRAFAC class TrmE-Era-EngA-EngB-Septin- like GTPase superfamily. Septin GTPase family
Ssiderea023908	UDP-glucoronosyl and UDP-glucosyl transferase
Ssiderea029978	sequence-specific DNA binding
Ssiderea011554	Belongs to the G-protein coupled receptor 2 family
Ssiderea023194	tachykinin receptor activity
Ssiderea019104	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates
Ssiderea058375	Common central domain of tyrosinase
Ssiderea037977	Uncharacterized conserved protein (DUF2358)
Ssiderea022752	Sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1
Ssiderea007021	metal ion binding
Ssiderea037687	Dimethylglycine dehydrogenase
Ssiderea013618	negative regulation of macrophage cytokine production
Ssiderea007075	Tetra-peptide repeat homeobox protein
Ssiderea009028	carbohydrate binding
Ssiderea007388	calcium ion transport
Ssiderea045208	organic anion transmembrane transporter activity
Ssiderea036476	Methyltransferase domain
Ssiderea046005	transcription corepressor binding
Ssiderea042282	fibroblast growth factor receptor binding
Ssiderea011317	Synaptotagmin
Ssiderea015987	G-protein coupled receptor activity
Ssiderea012583	mesenchymal-epithelial cell signaling involved in prostate gland development
Ssiderea040270	regulation of mitotic cell cycle
Ssiderea034686	Transforming protein RhoA-like
Ssiderea027779	guanylate cyclase activity
Ssiderea030884	Secreted frizzled-related protein
Ssiderea006064	Helicase conserved C-terminal domain
Ssiderea009990	N-terminal kinase-like protein
Ssiderea034011	Pleckstrin homology domain.
Ssiderea054288	Histone H2A
Ssiderea008124	Belongs to the peptidase C19 family
Ssiderea044760	serine-type endopeptidase activity
Ssiderea050655	EGF domain
Ssiderea040118	It is involved in the biological process described with receptor-mediated endocytosis
Ssiderea61402	Tnf receptor-associated factor 2
Ssiderea026037	sedoheptulokinase activity
Ssiderea001966	Zinc finger B-box
Ssiderea040450	glycyl-tRNA aminoacylation
Ssiderea006451	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 4
Ssiderea051087	UPF0538 protein C2orf76 homolog
Ssiderea031833	prolyl-tRNA aminoacylation
Ssiderea010060	scavenger receptor activity
Ssiderea050491	Dual specificity protein kinase
Ssiderea030384	Common central domain of tyrosinase
Ssiderea018981	Serine threonine-protein kinase SIK3
Ssiderea024042	Lim homeobox
Ssiderea025438	metallopeptidase activity
Ssiderea61370	adrenocorticotropic hormone
Ssiderea017372	formin homology 2 domain containing
Ssiderea050037	Transcription elongation factor that enhances transcription elongation by RNA polymerase II (RNAPII)
Ssiderea003395	family with sequence similarity 26, member E
Ssiderea025251	RNA splicing
Ssiderea004843	Chromosome 7 open reading frame 50
Ssiderea054672	complement activation, classical pathway
Ssiderea040671	Serpentine type 7TM GPCR chemoreceptor Srw
Ssiderea051617	visual perception
Ssiderea036082	G-protein coupled receptor activity
Ssiderea015326	organic anion transmembrane transporter activity
Ssiderea006431	Glycine rich protein
Ssiderea052997	Outer dense fiber of sperm tails
Ssiderea054729	complement activation
Ssiderea051730	Large conductance calcium-activated potassium channel activity. It is involved in the biological process described with potassium ion transport
Ssiderea048013	Nidogen 2 (Osteonidogen)
Ssiderea035693	positive regulation of protein monoubiquitination
Ssiderea050238	pyrimidine-specific mismatch base pair DNA N-glycosylase activity
Ssiderea002123	C-X9-C motif containing 4
Ssiderea052752	hair follicle maturation
Ssiderea003724	Helicase with zinc finger
Ssiderea002268	Pyridoxal-phosphate dependent enzyme
Ssiderea055777	homophilic cell adhesion via plasma membrane adhesion molecules
Ssiderea008036	dGTPase activity
Ssiderea005915	to Saccharomyces cerevisiae MBP1 (YDL056W)
Ssiderea039698	ATP-dependent RNA helicase
Ssiderea029579	GTP binding. It is involved in the biological process described with
Ssiderea010069	adenosine 3'-phospho 5'-phosphosulfate transporter
Ssiderea045998	modulation by host of viral RNA genome replication
Ssiderea022849	polyubiquitinated misfolded protein transport
Ssiderea006113	A Receptor for Ubiquitination Targets
Ssiderea055187	Caspase domain
Ssiderea049104	Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling
Ssiderea034258	queuine tRNA-ribosyltransferase
Ssiderea047941	activation of NF-kappaB-inducing kinase activity
Ssiderea055451	calcium ion binding
Ssiderea044868	ammonium transmembrane transporter activity
Ssiderea012437	Histone chaperone domain CHZ
Ssiderea011203	1-acylglycerophosphocholine O-acyltransferase activity
Ssiderea049467	mitotic cell cycle checkpoint
Ssiderea59543	DDE superfamily endonuclease
Ssiderea001361	Calcium-binding protein
Ssiderea017738	PDZ DHR GLGF domain protein
Ssiderea031933	G-protein coupled receptor activity
Ssiderea60095	distal tubule morphogenesis
Ssiderea035562	glutamate-cysteine ligase activity
Ssiderea015641	Regulatory factor X associated ankyrin containing protein
Ssiderea010078	LicD family
Ssiderea007760	Four repeated domains in the Fasciclin I family of proteins, present in many other contexts.
Ssiderea048506	inositol hexakisphosphate 6-kinase activity
Ssiderea058001	regulation of intestinal epithelial structure maintenance
Ssiderea013602	complement activation, classical pathway
Ssiderea057320	peptidyl-histidine dephosphorylation
Ssiderea046224	galanin-activated signaling pathway
Ssiderea021318	Uncharacterized conserved protein (DUF2347)
Ssiderea029742	regulation of mitotic cell cycle
Ssiderea021645	suppressor of cytokine signaling
Ssiderea042725	Heat stress transcription factor
Ssiderea039067	trypsinogen activation
Ssiderea058401	establishment of RNA localization to telomere
Ssiderea056159	actin binding
Ssiderea027932	calcium-dependent cysteine-type endopeptidase activity
Ssiderea023914	Ral guanyl-nucleotide exchange factor activity
Ssiderea001518	EamA-like transporter family
Ssiderea043576	Polycomb group ring finger
Ssiderea023468	7 transmembrane receptor (rhodopsin family)
Ssiderea053711	negative regulation of extracellular matrix disassembly
Ssiderea038384	heme binding
Ssiderea040949	fibroblast growth factor-activated receptor activity
Ssiderea046517	Galactosyltransferase
Ssiderea024118	snRNA binding
Ssiderea62402	Glycosyl transferases group 1
Ssiderea016681	Ganglioside induced differentiation associated protein 2
Ssiderea045071	GTPase activity
Ssiderea022059	serine-type endopeptidase activity
Ssiderea048555	Receptor-like tyrosine kinase
Ssiderea038348	negative regulation of protein localization to ciliary membrane
Ssiderea057368	Adaptor protein Ste4
Ssiderea021974	GTPase activity
Ssiderea62872	K02A2.6-like
Ssiderea051223	G-protein coupled receptor activity
Ssiderea055053	ATP-dependent RNA helicase activity
Ssiderea030985	Reverse transcriptase (RNA-dependent DNA polymerase)
Ssiderea040263	BTB (POZ) domain containing 6
Ssiderea005273	zinc ion binding
Ssiderea036684	guanyl-nucleotide exchange factor activity
Ssiderea003670	Transmembrane amino acid transporter protein
Ssiderea002309	G-protein coupled receptor activity
Ssiderea033457	regulation of response to stimulus
Ssiderea048084	coagulation factor V
Ssiderea041790	G-protein coupled receptor activity
Ssiderea012759	serine-type endopeptidase inhibitor activity
Ssiderea053283	somite specification
Ssiderea042611	Flavin containing amine oxidoreductase
Ssiderea056504	-
Ssiderea052328	-
Ssiderea019426	pyrophosphorylase 1
Ssiderea002324	Notch signaling pathway
Ssiderea054027	activation of NF-kappaB-inducing kinase activity
Ssiderea054016	heme binding
Ssiderea053854	Flavin containing amine oxidoreductase
Ssiderea60339	DNA-binding transcription factor activity, RNA polymerase II-specific
Ssiderea054041	activation of NF-kappaB-inducing kinase activity
Ssiderea011816	ATP-dependent 5'-3' DNA helicase activity
Ssiderea025583	G-protein coupled receptor activity
Ssiderea005474	Common central domain of tyrosinase
Ssiderea034919	Zinc finger, C2H2 type
Ssiderea050633	cubilin (intrinsic factor-cobalamin receptor)
Ssiderea018940	heme binding
Ssiderea018488	TMEM151 family
Ssiderea038147	Anticodon-binding domain
Ssiderea020540	7 transmembrane receptor (rhodopsin family)
Ssiderea036565	regulation of translation
Ssiderea031940	UDP-Gal betaGlcNAc beta 1,4- galactosyltransferase, polypeptide
Ssiderea013438	Serpentine type 7TM GPCR chemoreceptor Srsx
Ssiderea056641	Histone H3
Ssiderea041541	DBH-like monooxygenase protein 1
Ssiderea005106	protein transport
Ssiderea054456	trimming of terminal mannose on C branch
Ssiderea036701	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Ssiderea031800	G-protein coupled receptor activity
Ssiderea031482	It is involved in the biological process described with
Ssiderea036760	Coagulation factor 5/8 C-terminal domain, discoidin domain
Ssiderea018588	8-hydroxy-dADP phosphatase activity
Ssiderea057249	-
Ssiderea052244	Belongs to the small heat shock protein (HSP20) family
Ssiderea023623	endocytosis
Ssiderea034771	G-protein coupled receptor activity
Ssiderea021731	Domain of unknown function (DUF4616)
Ssiderea025494	calcium ion binding
Ssiderea046000	dioxygenase activity
Ssiderea000777	Coagulation factor 5/8 C-terminal domain, discoidin domain
Ssiderea007214	Cenp-F N-terminal domain
Ssiderea025012	Golgi vesicle fusion to target membrane
Ssiderea045166	guanylate cyclase activity
Ssiderea037481	cationic amino acid transporter
Ssiderea006015	Chromosome 6 open reading frame 62
Ssiderea59385	DDE superfamily endonuclease
Ssiderea009381	Wall-associated receptor kinase
Ssiderea033262	protein transport
Ssiderea047097	zinc ion binding
Ssiderea002073	peroxidase activity
Ssiderea004292	response to intra-S DNA damage checkpoint signaling
Ssiderea034668	Tetratricopeptide repeat
Ssiderea046592	Belongs to the peptidase S8 family
Ssiderea005234	regulation of mitotic cell cycle
Ssiderea042440	acid phosphatase activity
Ssiderea043771	recycling endosome to Golgi transport
Ssiderea052642	chromatin remodeling
Ssiderea010306	syntaxin binding
Ssiderea020264	DNA binding
Ssiderea022086	May promote cell cycle arrest by enhancing the inhibition of CDK2 activity by CDKN1A. May be required for repair of DNA damage by homologous recombination in conjunction with BRCA2. May not be involved in non-homologous end joining (NHEJ)
Ssiderea009440	transcription elongation from RNA polymerase II promoter
Ssiderea008865	macromolecule localization
Ssiderea008726	-
Ssiderea007494	G-protein coupled receptor activity
Ssiderea055963	neuropeptide receptor activity
Ssiderea000910	metallopeptidase activity
Ssiderea011911	Receptor
Ssiderea053536	Common central domain of tyrosinase
Ssiderea053870	G-protein coupled receptor activity
Ssiderea043487	carbohydrate binding
Ssiderea017305	exonuclease activity
Ssiderea021906	Flavin containing amine oxidoreductase
Ssiderea013455	Serpentine type 7TM GPCR chemoreceptor Srsx
Ssiderea052127	heme binding
Ssiderea044859	heme binding
Ssiderea041415	Common central domain of tyrosinase
Ssiderea048478	kinetochore assembly
Ssiderea032867	apoptotic process
Ssiderea001032	zinc ion binding
Ssiderea005711	calcium ion binding
Ssiderea041418	ATP-dependent RNA helicase
Ssiderea057977	protein import into mitochondrial matrix
Ssiderea047220	7 transmembrane receptor (rhodopsin family)
Ssiderea016466	7 transmembrane receptor (rhodopsin family)
Ssiderea012203	rho guanine nucleotide exchange factor
Ssiderea013413	Folate receptor
Ssiderea041636	double C2-like
Ssiderea045570	Serpentine type 7TM GPCR chemoreceptor Srw
Ssiderea028969	G-protein coupled receptor activity
Ssiderea049252	DNA binding
Ssiderea024839	Belongs to the G-protein coupled receptor 1 family
Ssiderea017011	polycystic kidney disease protein 1-like
Ssiderea009233	molybdopterin-synthase sulfurtransferase activity
Ssiderea022473	4-hydroxy-2-oxoglutarate aldolase activity
Ssiderea051276	Coiled-coil domain containing 89
Ssiderea047992	Protein of unknown function, DUF547
Ssiderea000215	Belongs to the AAA ATPase family
Ssiderea021985	-
Ssiderea013053	Dorsal-ventral patterning protein tolloid-like
Ssiderea026760	Rab guanyl-nucleotide exchange factor activity
Ssiderea012722	Belongs to the mitochondrial carrier (TC 2.A.29) family
Ssiderea021510	regulation of cellular response to hypoxia
Ssiderea044032	HAUS augmin-like complex subunit 2
Ssiderea015603	regulation of nucleic acid-templated transcription
Ssiderea001657	thiol-dependent ubiquitin-specific protease activity
Ssiderea027081	protein localization to T-tubule
Ssiderea000552	chiasma assembly
Ssiderea038814	carbohydrate binding
Ssiderea002699	Immunoglobulin C-2 Type
Ssiderea053184	G-protein coupled receptor activity
Ssiderea61083	Endonuclease/Exonuclease/phosphatase family
Ssiderea035245	protein-hormone receptor activity
Ssiderea006589	Pleckstrin homology domain.
Ssiderea014624	cilium movement
Ssiderea041644	MFS/sugar transport protein
Ssiderea045056	sulfuric ester hydrolase activity
Ssiderea026164	protein localization
Ssiderea033371	gamma-aminobutyric acid:proton symporter activity
Ssiderea056835	Serpentine type 7TM GPCR chemoreceptor Srsx
Ssiderea045311	Tumour necrosis factor family.
Ssiderea051781	melanocyte differentiation
Ssiderea009229	Belongs to the actin-binding proteins ADF family
Ssiderea007028	regulation of actin phosphorylation
Ssiderea001193	ubiquitin-protein transferase activity
Ssiderea044010	GABA-A receptor activity
Ssiderea043585	negative regulation of plasminogen activation
Ssiderea014225	regulation of mitotic cell cycle
Ssiderea041221	cytoskeletal protein binding
Ssiderea026227	-
Ssiderea59301	histone acetyltransferase activity
Ssiderea050955	transmembrane transport
Ssiderea030231	melanocortin receptor activity
Ssiderea021911	GDP binding
Ssiderea002690	Hemicentin 1
Ssiderea054969	G-protein coupled receptor activity
Ssiderea012602	glutamic-type peptidase activity
Ssiderea044789	Zinc finger CCHC
Ssiderea032128	-
Ssiderea017857	NADP-retinol dehydrogenase activity
Ssiderea044538	Solute carrier family 25 member
Ssiderea026482	MAC/Perforin domain
Ssiderea019133	dual serine threonine and tyrosine protein
Ssiderea004455	calcium ion binding
Ssiderea013644	Belongs to the G-protein coupled receptor 2 family
Ssiderea046701	DNA-directed 5'-3' RNA polymerase activity
Ssiderea005075	adenylate cyclase-inhibiting G-protein coupled glutamate receptor signaling pathway
Ssiderea015629	Serine beta-lactamase-like protein LACTB
Ssiderea000557	Proposed core component of the chromatin remodeling INO80 complex which is involved in transcriptional regulation, DNA replication and probably DNA repair
Ssiderea033507	extracellularly glutamate-gated ion channel activity
Ssiderea001808	N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase activity
Ssiderea020279	Serine peptidase inhibitor, Kunitz type, 2
Ssiderea039004	prolyl 4-hydroxylase
Ssiderea010337	Broad-Complex, Tramtrack and Bric a brac
Ssiderea016577	NADP-retinol dehydrogenase activity
Ssiderea033248	protein tyrosine phosphatase activity
Ssiderea015956	Coagulation factor 5/8 C-terminal domain, discoidin domain
Ssiderea013038	MFS_1 like family
Ssiderea031738	melatonin receptor activity
Ssiderea021374	-
Ssiderea020017	transcript (3
Ssiderea047356	galanin-activated signaling pathway
Ssiderea024284	Collagen triple helix
Ssiderea057234	-
Ssiderea043621	establishment of glial blood-brain barrier
Ssiderea025613	cytoplasmic sequestering of NF-kappaB
Ssiderea015705	negative regulation of RIG-I signaling pathway
Ssiderea026971	regulation of phosphoprotein phosphatase activity
Ssiderea002630	Immunoglobulin C-2 Type
Ssiderea61066	distal tubule morphogenesis
Ssiderea013120	serine-type endopeptidase activity
Ssiderea009884	G-protein coupled receptor activity
Ssiderea046836	serine-type endopeptidase inhibitor activity
Ssiderea039388	phosphorylation of RNA polymerase II C-terminal domain
Ssiderea052983	transmembrane signaling receptor activity. It is involved in the biological process described with cell surface receptor signaling pathway
Ssiderea044469	Trehalase
Ssiderea054655	vesicle-associated membrane protein 4
Ssiderea052571	Mucin 4, cell surface associated
Ssiderea005158	zinc ion binding
Ssiderea026567	Transcription factor
Ssiderea028311	melatonin receptor activity
Ssiderea035069	7 transmembrane receptor (rhodopsin family)
Ssiderea055550	polycystic kidney disease protein 1-like
Ssiderea046385	Myeloid leukemia factor 1
Ssiderea039207	Serpentine type 7TM GPCR chemoreceptor Srw
Ssiderea022579	homeobox
Ssiderea024111	synaptonemal complex assembly
Ssiderea056206	-
Ssiderea005214	metalloaminopeptidase activity
Ssiderea025249	growth differentiation factor
Ssiderea035854	G-protein coupled receptor activity
Ssiderea60917	Ribonuclease H protein
Ssiderea053182	gamma-aminobutyric acid type B receptor subunit
Ssiderea023971	zinc ion binding
Ssiderea038359	Collagen, type XXVI, alpha 1
Ssiderea001530	ARF7 effector protein C-terminus
Ssiderea003100	tachykinin receptor activity
Ssiderea023650	Belongs to the zinc-containing alcohol dehydrogenase family. Class-III subfamily
Ssiderea013033	sucrose alpha-glucosidase activity
Ssiderea60649	K02A2.6-like
Ssiderea051485	Glioma tumor suppressor candidate region gene 1
Ssiderea002084	heparan sulfate proteoglycan
Ssiderea024199	RNA binding
Ssiderea053903	calcium ion binding
Ssiderea055769	glutamine--fructose-6-phosphate
Ssiderea044996	peptidyl-serine dephosphorylation
Ssiderea028486	U3 snoRNA binding
Ssiderea043511	COG0514 Superfamily II DNA helicase
Ssiderea022845	PRA1 family
Ssiderea020487	GRB2-associated-binding protein 1
Ssiderea046734	centromere complex assembly
Ssiderea056246	Domain of unknown function (DUF3402)
Ssiderea035627	Pseudouridine-metabolizing bifunctional protein C1861.05-like
Ssiderea023068	hydrolase activity
Ssiderea055401	trans-2-enoyl-CoA reductase (NADPH) activity
Ssiderea001790	ATP-dependent microtubule motor activity, minus-end-directed
Ssiderea018035	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
Ssiderea019117	dual serine threonine and tyrosine protein
Ssiderea007357	calcium ion transport
Ssiderea051447	EP4 subtype prostaglandin E2 receptor binding
Ssiderea045102	double-stranded RNA adenosine deaminase activity
Ssiderea037509	Lysophospholipid acyltransferase 5
Ssiderea000677	rRNA (cytosine-N4-)-methyltransferase activity
Ssiderea052646	ribulose-phosphate 3-epimerase activity
Ssiderea039250	Hairy enhancer-of-split related with YRPW motif
Ssiderea006632	G-protein coupled receptor activity
Ssiderea006278	Phosphotyrosine interaction domain (PTB/PID)
Ssiderea037535	biological adhesion
Ssiderea017866	NADP-retinol dehydrogenase activity
Ssiderea049108	Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling
Ssiderea041431	omega-6 fatty acid desaturase activity
Ssiderea042147	peroxisomal long-chain fatty acid import
Ssiderea025972	Fibrinogen-related domains (FReDs)
Ssiderea011148	Thrombospondin type 1 repeats
Ssiderea013375	Interferon-induced transmembrane protein
Ssiderea60791	Reverse transcriptase (RNA-dependent DNA polymerase)
Ssiderea045429	RNA binding motif protein 25
Ssiderea015156	protein serine/threonine phosphatase activity
Ssiderea045243	frizzled-related protein
Ssiderea026959	neuron navigator
Ssiderea60390	G-protein coupled receptor activity
Ssiderea045273	Golgi ribbon formation
Ssiderea001974	Belongs to the PDGF VEGF growth factor family
Ssiderea033735	Coagulation factor 5/8 C-terminal domain, discoidin domain
Ssiderea056663	metalloendopeptidase activity
Ssiderea051093	protein import into mitochondrial intermembrane space
Ssiderea023897	mitochondrial transcription
Ssiderea013296	Ectopic P-granules autophagy protein 5 homolog
Ssiderea031978	cellular stress response to acidic pH
Ssiderea022458	Glycosyltransferase family 92
Ssiderea039701	cobalamin catabolic process
Ssiderea019819	structural constituent of ribosome
Ssiderea024100	DNA (cytosine-5-)-methyltransferase activity
Ssiderea003616	pyridoxal-dependent decarboxylase
Ssiderea026244	7 transmembrane receptor (rhodopsin family)
Ssiderea61722	Ribonuclease H protein
Ssiderea039678	dodecenoyl-CoA delta-isomerase activity
Ssiderea036074	chaperone cofactor-dependent protein refolding
Ssiderea049019	factor RNA polymerase I
Ssiderea035209	negative regulation of bile acid biosynthetic process
Ssiderea038045	G-protein coupled receptor activity
Ssiderea034215	potassium voltage-gated channel
Ssiderea050110	malectin
Ssiderea037470	negative regulation of programmed cell death
Ssiderea056194	ATP-dependent microtubule motor activity, minus-end-directed
Ssiderea034732	Quinone oxidoreductase-like protein
Ssiderea029561	histone H3-K36 methylation
Ssiderea054595	CUB and zona pellucida-like domain-containing protein
Ssiderea62685	zinc finger, MYM-type
Ssiderea053127	trafficking protein particle complex
Ssiderea050941	actin-related protein 5
Ssiderea047475	G-protein coupled receptor activity
Ssiderea023447	metallocarboxypeptidase activity
Ssiderea012091	Mitochondrial ribonuclease P protein
Ssiderea018360	chondroitin 6-sulfotransferase activity
Ssiderea042424	late endosome to lysosome transport
Ssiderea004116	polycystic kidney disease protein 1-like
Ssiderea026817	zinc ion binding
Ssiderea039846	Aldo/keto reductase family
Ssiderea001642	G-protein coupled receptor activity
Ssiderea042195	Integrase core domain
Ssiderea032351	Pecanex protein (C-terminus)
Ssiderea021140	alanine-oxo-acid transaminase activity
Ssiderea004605	ATPase activity, coupled to transmembrane movement of substances
Ssiderea047868	Belongs to the peptidase M10A family
Ssiderea044422	Serine-threonine kinase SepH
Ssiderea018088	Coagulation factor 5/8 C-terminal domain, discoidin domain
Ssiderea002412	fibroblast growth factor-activated receptor activity
Ssiderea028799	Calcium-binding EGF domain
Ssiderea058062	Bravo-like intracellular region
Ssiderea044228	Calcium-binding protein
Ssiderea023848	histone-lysine N-methyltransferase activity
Ssiderea60968	Pao retrotransposon peptidase
Ssiderea017755	SWI SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member
Ssiderea054509	Chromosome 1 open reading frame 35
Ssiderea059009	Common central domain of tyrosinase
Ssiderea038806	carbohydrate binding
Ssiderea058707	saccharopine dehydrogenase (NADP+, L-lysine-forming) activity
Ssiderea039285	3'-5' exonuclease activity
Ssiderea62645	oxidation-reduction process
Ssiderea014138	-
Ssiderea046453	receptor
Ssiderea040846	Ig-like domain on T-cell surface glycoprotein CD3 epsilon chain
Ssiderea032978	zinc finger
Ssiderea020905	protein serine/threonine kinase activity
Ssiderea022185	3'-5' exonuclease
Ssiderea031573	NFX1-type zinc finger-containing protein
Ssiderea031595	Zinc finger, NFX1-type containing 1
Ssiderea029225	protein C10orf88 homolog
Ssiderea058560	Peroxidasin homolog
Ssiderea013040	protein with multiple splicing
Ssiderea053104	-
Ssiderea048080	polycystic kidney disease protein 1-like
Ssiderea016007	Domain of unknown function (DUF3504)
Ssiderea027917	cytoskeletal protein binding
Ssiderea016000	G-protein coupled receptor activity
Ssiderea006271	Animal haem peroxidase
Ssiderea053682	T-complex-associated testis-expressed protein 1
Ssiderea029231	tyrosinase
Ssiderea004611	Leucine rich repeat
Ssiderea005086	DNA binding
Ssiderea037787	TeTratriCopeptide repeat
Ssiderea038430	structural constituent of cuticle
Ssiderea056720	axonogenesis involved in innervation
Ssiderea038132	biological adhesion
Ssiderea011466	GDP-Man:Man3GlcNAc2-PP-Dol alpha-1,2-mannosyltransferase activity
Ssiderea053889	-
Ssiderea022318	fibroblast growth factor-activated receptor activity
Ssiderea055493	ATPase activity, coupled to transmembrane movement of substances
Ssiderea055510	Belongs to the ubiquitin-conjugating enzyme family
Ssiderea030330	calcium ion binding
Ssiderea055757	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process
Ssiderea013043	calcium, potassium:sodium antiporter activity
Ssiderea017646	regulation of mitotic cell cycle
Ssiderea60992	G-protein coupled receptor activity
Ssiderea045341	calcium uptake
Ssiderea049756	retinol dehydrogenase activity
Ssiderea032644	polycystic kidney disease protein 1-like
Ssiderea012915	Kelch motif
Ssiderea052688	Leucine Rich repeat
Ssiderea020908	protein serine/threonine kinase activity
Ssiderea052815	Mitochondrial carrier protein
Ssiderea038510	NAD-dependent histone deacetylase activity (H3-K18 specific)
Ssiderea003486	RUN domain
Ssiderea033002	Scavenger receptor Cys-rich
Ssiderea051406	G-protein coupled receptor activity
Ssiderea049746	ion channel activity
Ssiderea057761	Cytochrome P450
Ssiderea000501	CRD-mediated mRNA stabilization
Ssiderea030452	Coagulation factor 5/8 C-terminal domain, discoidin domain
Ssiderea038207	Carboxylesterase family
Ssiderea039622	glycophagy
Ssiderea056639	Histone H2B
Ssiderea047271	NACHT, LRR and PYD domains-containing protein
Ssiderea038311	positive regulation of Arp2/3 complex-mediated actin nucleation
Ssiderea030360	regulation of mitotic cell cycle
Ssiderea021938	cell surface pattern recognition receptor signaling pathway
Ssiderea002431	Proto-oncogene tyrosine-protein kinase receptor Ret-like
Ssiderea051959	Histamine N-methyltransferase
Ssiderea047864	Matrix metalloproteinase 14a (membrane-inserted)
Ssiderea024884	coenzyme A transmembrane transporter activity
Ssiderea052531	E-box binding
Ssiderea027592	cerebellar granular layer structural organization
Ssiderea023471	7 transmembrane receptor (rhodopsin family)
Ssiderea040096	ATPase activity, coupled to transmembrane movement of substances
Ssiderea003817	glycerophosphodiester phosphodiesterase 1
Ssiderea029067	sequence-specific DNA binding
Ssiderea004492	Lipoxygenase
Ssiderea047240	protein transport
Ssiderea007939	structural constituent of ribosome
Ssiderea047320	high mobility group
Ssiderea001211	lens induction in camera-type eye
Ssiderea60999	Ribonuclease H protein
Ssiderea026800	Achaete-scute family bHLH transcription factor 5
Ssiderea003994	coiled-coil
Ssiderea050226	microtubule nucleation by interphase microtubule organizing center
Ssiderea008975	carbohydrate binding
Ssiderea018593	Sperm surface zona pellucida binding protein. Helps to bind spermatozoa to the zona pellucida with high affinity. Might function in binding zona pellucida and carbohydrates
Ssiderea024790	PC4 and SFRS1 interacting protein 1
Ssiderea036264	interleukin-3 production
Ssiderea046557	Coagulation factor 5/8 C-terminal domain, discoidin domain
Ssiderea052481	Catalytic subunit of a complex which severs microtubules in an ATP-dependent manner. Microtubule severing may promote rapid reorganization of cellular microtubule arrays and the release of microtubules from the centrosome following nucleation
Ssiderea019981	Vertebrae development homolog (pig)
Ssiderea020179	GDA1/CD39 (nucleoside phosphatase) family
Ssiderea62456	Integrase core domain
Ssiderea041769	G-protein coupled receptor activity
Ssiderea023002	nuclear factor of activated T-cells 5
Ssiderea025265	establishment of glial blood-brain barrier
Ssiderea007274	Sidekick cell adhesion molecule
Ssiderea044471	G-protein coupled receptor activity
Ssiderea046417	Core histone H2A/H2B/H3/H4
Ssiderea023127	Transmembrane protein 131-like
Ssiderea052271	Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase C
Ssiderea048199	protein homodimerization activity
Ssiderea039861	Aldo/keto reductase family
Ssiderea006562	Coagulation factor 5/8 C-terminal domain, discoidin domain
Ssiderea040975	transmembrane receptor protein tyrosine kinase activity
Ssiderea026446	nucleotidyltransferase activity
Ssiderea046201	Serpentine type 7TM GPCR chemoreceptor Srw
Ssiderea013242	neurotransmitter:sodium symporter activity
Ssiderea035337	Potassium channel subfamily K member
Ssiderea019110	Histamine N-methyltransferase
Ssiderea057372	Immunoglobulin domain
Ssiderea042570	protein serine/threonine kinase activity
Ssiderea041984	negative regulation of axon extension involved in regeneration
Ssiderea047439	Belongs to the CD36 family
Ssiderea038197	Carboxylesterase family
Ssiderea018753	neuromedin U receptor activity
Ssiderea025572	G-protein coupled receptor activity
Ssiderea045600	Serpentine type 7TM GPCR chemoreceptor Srx
Ssiderea005601	Ribonucleases P MRP protein subunit
