Ssiderea250769	tRNA guanylyltransferase activity
Ssiderea226281	phospholipase A2 activity (consuming 1,2-dipalmitoylphosphatidylcholine)
Ssiderea504630	calcium activated phosphatidylcholine scrambling
Ssiderea477989	scavenger receptor activity
Ssiderea263440	B cell affinity maturation
Ssiderea258897	epidermal growth factor-activated receptor activity
Ssiderea248706	Cupin-like domain
Ssiderea269066	Endoplasmic reticulum to nucleus signaling
Ssiderea263241	regulation of myosin II filament organization
Ssiderea229975	NAADP-sensitive calcium-release channel activity
Ssiderea262414	tubulin-dependent ATPase activity
Ssiderea267684	K02A2.6-like
Ssiderea249913	Tektin 3
Ssiderea211754	superoxide dismutase copper chaperone activity
Ssiderea244358	ion transport
Ssiderea229274	Down syndrome cell adhesion
Ssiderea265044	tRNA processing
Ssiderea253620	Taurine catabolism dioxygenase TauD, TfdA family
Ssiderea231253	ribosomal small subunit assembly
Ssiderea236139	homeobox
Ssiderea267632	L-glutamate import across plasma membrane
Ssiderea266248	5'-3' DNA helicase activity
Ssiderea259676	microtubule anchoring
Ssiderea265923	Mediator complex subunit 23
Ssiderea223125	modulation by host of viral RNA genome replication
Ssiderea254647	Enabled homolog
Ssiderea264511	Von Willebrand factor A
Ssiderea232819	activity. It is involved in the biological process described with oxidation-reduction process
Ssiderea266089	Nuclear pore glycoprotein
Ssiderea226691	tRNA 3'-terminal CCA addition
Ssiderea237160	G-protein coupled receptor activity
Ssiderea253368	aminopeptidase activity
Ssiderea200414	Lysine methyltransferase
Ssiderea391480	Elongation factor
Ssiderea247412	Belongs to the MCM family
Ssiderea216930	G-protein coupled receptor activity
Ssiderea603364	structural constituent of ribosome
Ssiderea265656	Catalyzes the hydroxylation of the N(6)-(4-aminobutyl)- L-lysine intermediate to form hypusine, an essential post- translational modification only found in mature eIF-5A factor
Ssiderea267596	Lipoxygenase
Ssiderea240353	catalytic activity. It is involved in the biological process described with metabolic process
Ssiderea237788	Ubiquitin-related modifier 1
Ssiderea463008	Cdc42 protein signal transduction
Ssiderea254820	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing
Ssiderea265327	Eukaryotic initiation factor 4E
Ssiderea271075	microtubule motor activity
Ssiderea240988	serine C-palmitoyltransferase activity
Ssiderea248673	Belongs to the Ca(2 ) cation antiporter (CaCA) (TC 2.A.19) family
Ssiderea267452	N,N-dimethylaniline monooxygenase activity
Ssiderea244541	pronephric nephron development
Ssiderea257948	Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type IV subfamily
Ssiderea245682	synaptic vesicle priming
Ssiderea222736	Cytochrome P450, family 46, subfamily A, polypeptide
Ssiderea265958	Ankyrin repeat
Ssiderea266224	fibroblast growth factor-activated receptor activity
Ssiderea270259	ubiquitin protein ligase binding
Ssiderea224642	extracellular ligand-gated ion channel activity
Ssiderea250256	reductase
Ssiderea149627	semaphorin receptor binding
Ssiderea221578	calcium ion binding
Ssiderea263510	Hepatoma-derived growth factor-related protein
Ssiderea253701	SH3 domain-binding protein 5 (SH3BP5)
Ssiderea232359	very-long-chain-acyl-CoA dehydrogenase activity
Ssiderea168496	F-box LRR-repeat protein
Ssiderea262223	polycystic kidney disease protein 1-like
Ssiderea238182	Ribosomal protein L4
Ssiderea252513	Rab guanyl-nucleotide exchange factor activity
Ssiderea233333	FK506 binding protein
Ssiderea264534	ATPase activity, coupled to transmembrane movement of substances
Ssiderea513688	Polycystic kidney and hepatic disease 1 (autosomal recessive)-like 1
Ssiderea262789	UFM1 activating enzyme activity
Ssiderea252894	embryonic brain development
Ssiderea243899	regulation of centriole replication
Ssiderea248414	Kelch motif
Ssiderea200998	NFX1-type zinc finger-containing protein
Ssiderea256677	Domain present in PSD-95, Dlg, and ZO-1/2.
Ssiderea256342	regulation of dense core granule exocytosis
Ssiderea241740	cytochrome-b5 reductase activity, acting on NAD(P)H
Ssiderea243982	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Ssiderea251214	histone H3-K23 acetylation
Ssiderea238157	GTPase-activator protein for Ras-like GTPase
Ssiderea230816	Avidin family
Ssiderea246466	glutamate dehydrogenase [NAD(P)+] activity
Ssiderea255063	positive regulation of dendrite morphogenesis
Ssiderea241235	animal organ morphogenesis
Ssiderea226167	protein folding in endoplasmic reticulum
Ssiderea39767	Sulfotransferase family, cytosolic, 1C, member 4
Ssiderea263479	obsolete RNA polymerase II transcription factor activity, TBP-class protein binding, involved in preinitiation complex assembly
Ssiderea260931	DNA binding
Ssiderea246873	epidermal growth factor-activated receptor activity
Ssiderea255141	actin filament capping
Ssiderea269710	inositol monophosphate 3-phosphatase activity
Ssiderea227385	Chromosome 9 open reading frame 64
Ssiderea233889	large conductance calcium-activated potassium channel activity
Ssiderea219678	cellular macromolecule catabolic process
Ssiderea270710	Catalyzes the phosphorylation of D-fructose 6-phosphate to fructose 1,6-bisphosphate by ATP, the first committing step of glycolysis
Ssiderea223047	COMM domain containing 3
Ssiderea226063	mRNA-containing ribonucleoprotein complex export from nucleus
Ssiderea246786	UPF0489 domain
Ssiderea259259	EP4 subtype prostaglandin E2 receptor binding
Ssiderea253232	positive regulation of interleukin-4-mediated signaling pathway
Ssiderea226639	nucleosome assembly
Ssiderea167371	asparagine-tRNA ligase activity
Ssiderea258766	Reverse transcriptase (RNA-dependent DNA polymerase)
Ssiderea253868	alpha1-adrenergic receptor activity
Ssiderea238427	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile
Ssiderea252846	adenylate cyclase-inhibiting G-protein coupled glutamate receptor signaling pathway
Ssiderea333398	Poly A polymerase regulatory subunit
Ssiderea252387	Belongs to the class I-like SAM-binding methyltransferase superfamily. Protein arginine N- methyltransferase family
Ssiderea271747	N-alpha-acetyltransferase 25, NatB auxiliary subunit
Ssiderea399311	Catalyzes the irreversible transfer of a propylamine group from the amino donor S-adenosylmethioninamine (decarboxy- AdoMet) to putrescine (1,4-diaminobutane) to yield spermidine
Ssiderea204337	ATP-dependent RNA helicase YTHDC2
Ssiderea263043	negative regulation of Rho guanyl-nucleotide exchange factor activity
Ssiderea268473	Belongs to the ammonium transporter (TC 2.A.49) family. Rh subfamily
Ssiderea414734	Ferredoxins are iron-sulfur proteins that transfer electrons in a wide variety of metabolic reactions
Ssiderea261317	positive regulation of glomerular metanephric mesangial cell proliferation
Ssiderea228854	Protein MEI2-like 4 isoform X1
Ssiderea256609	7 transmembrane receptor (rhodopsin family)
Ssiderea240133	electron-transferring-flavoprotein dehydrogenase activity
Ssiderea270367	acid phosphatase activity
Ssiderea259007	Amidase
Ssiderea239005	The GINS complex plays an essential role in the initiation of DNA replication
Ssiderea236118	sulfuric ester hydrolase activity
Ssiderea350323	Carboxylesterase family
Ssiderea207476	Mediates the voltage-dependent sodium ion permeability of excitable membranes
Ssiderea431078	dimethylaniline monooxygenase N-oxide-forming
Ssiderea256937	vesicle-mediated transport
Ssiderea233534	thyroid hormone transmembrane transporter activity
Ssiderea254736	Belongs to the protein kinase superfamily. Tyr protein kinase family
Ssiderea247751	FAD dependent oxidoreductase
Ssiderea261444	SH3/SH2 adaptor activity
Ssiderea250912	protein serine/threonine kinase activity
Ssiderea234583	Transmembrane protein 177
Ssiderea216657	ribosomal protein L8
Ssiderea223528	Matrilin-3-like isoform X1
Ssiderea207301	Cadherin repeats.
Ssiderea250003	pyruvate dehydrogenase (acetyl-transferring) activity
Ssiderea230079	small nuclear RNA activating complex, polypeptide
Ssiderea235319	Common central domain of tyrosinase
Ssiderea200936	Achaete-scute family bHLH transcription factor 5
Ssiderea238917	V-ral simian leukemia viral oncogene homolog
Ssiderea269143	propionyl-CoA carboxylase activity
Ssiderea258467	-
Ssiderea248938	Arachidonate 5-lipoxygenase
Ssiderea243356	Phosducin
Ssiderea268326	intramolecular lyase activity
Ssiderea338429	3'-flap-structured DNA binding
Ssiderea271947	Protein tyrosine kinase
Ssiderea233712	Olfactomedin-like
Ssiderea229662	Responsible for synthesis of pseudouridine from uracil
Ssiderea230849	23S rRNA (adenine(1618)-N(6))-methyltransferase activity
Ssiderea235498	glycerophosphodiester phosphodiesterase 1
Ssiderea251865	-
Ssiderea287729	tubulin-tyrosine ligase activity
Ssiderea226277	Acid trehalase-like
Ssiderea251458	ATP-binding cassette, subfamily G
Ssiderea218853	L-alpha-amino acid transmembrane transport
Ssiderea164533	radial pattern formation
Ssiderea233866	Pyridoxal-phosphate dependent enzyme
Ssiderea208974	potassium voltage-gated channel
Ssiderea258129	protein transport
Ssiderea237838	intraciliary retrograde transport
Ssiderea254279	phosphopyruvate hydratase activity
Ssiderea235990	protein-disulfide reductase activity
Ssiderea131789	Glycosyl transferase family 8
Ssiderea214809	negative regulation of non-canonical Wnt signaling pathway
Ssiderea217929	TNF receptor-associated factor
Ssiderea257834	Catalyzes conversion of folates to polyglutamate derivatives allowing concentration of folate compounds in the cell and the intracellular retention of these cofactors, which are important substrates for most of the folate-dependent enzymes that are involved in one-carbon transfer reactions involved in purine, pyrimidine and amino acid synthesis
Ssiderea246306	7 transmembrane receptor (rhodopsin family)
Ssiderea592541	protein ubiquitination
Ssiderea237558	Extracellular calcium-sensing receptor-like
Ssiderea236465	Zinc finger, C2H2 type
Ssiderea249102	protein K11-linked ubiquitination
Ssiderea3808	cellular response to leucine starvation
Ssiderea255232	superoxide-generating NADPH oxidase activator activity
Ssiderea240649	Metalloendopeptidase activity. It is involved in the biological process described with proteolysis
Ssiderea241148	helicase activity
Ssiderea268567	K02A2.6-like
Ssiderea258845	Vesicle-fusing ATPase
Ssiderea228962	GTPase-activator protein for Rho-like GTPases
Ssiderea256310	DNA binding
Ssiderea179746	K02A2.6-like
Ssiderea252301	Transient receptor potential cation channel subfamily V member
Ssiderea239938	Rab subfamily of small GTPases
Ssiderea245712	MTOR associated protein, LST8 homolog (S. cerevisiae)
Ssiderea241072	mitochondrial transport
Ssiderea364003	cotranslational protein targeting to membrane
Ssiderea236702	Belongs to the FBPase class 1 family
Ssiderea181152	ATP-dependent microtubule motor activity, minus-end-directed
Ssiderea264318	intracellular chloride channel activity
Ssiderea225258	myotome development
Ssiderea256500	Belongs to the zinc-containing alcohol dehydrogenase family. Class-III subfamily
Ssiderea254773	CHY zinc finger
Ssiderea260140	Peroxidasin homolog
Ssiderea237231	GLE1 RNA export mediator
Ssiderea219859	structural constituent of cytoskeleton
Ssiderea267732	Eukaryotic translation initiation factor 4 gamma
Ssiderea219895	steroid binding
Ssiderea166884	heme binding
Ssiderea452452	calcium ion binding
Ssiderea241864	NFX1-type zinc finger-containing protein
Ssiderea265322	rRNA base methylation
Ssiderea256077	protein modification by small protein conjugation
Ssiderea158419	Ribonuclease H protein
Ssiderea248046	protein branching point deglutamylation
Ssiderea236310	cell-cell adhesion involved in gastrulation
Ssiderea268685	lipoprotein receptor-related protein
Ssiderea228753	endo-1,4-beta-xylanase activity
Ssiderea256886	-
Ssiderea253749	cellular response to molecule of fungal origin
Ssiderea268288	non-haem dioxygenase in morphine synthesis N-terminal
Ssiderea261903	ER to Golgi vesicle-mediated transport
Ssiderea233055	protein import into nucleus
Ssiderea206296	laminin subunit
Ssiderea267829	positive regulation of endothelial cell chemotaxis
Ssiderea254528	ATP binding
Ssiderea226018	ERI1 exoribonuclease
Ssiderea252251	Coiled-coil domain-containing protein 142
Ssiderea253631	neurotrophin receptor activity
Ssiderea177794	polycystic kidney disease protein 1-like
Ssiderea213504	heat shock
Ssiderea237842	endoribonuclease activity, cleaving siRNA-paired mRNA
Ssiderea76566	calcium ion binding
Ssiderea260167	four-way junction helicase activity
Ssiderea237113	Coiled-coil domain containing 169
Ssiderea330263	metalloendopeptidase activity
Ssiderea264076	protein heterodimerization activity
Ssiderea254610	thiol-dependent ubiquitin-specific protease activity
Ssiderea234027	carnitine O-octanoyltransferase
Ssiderea270783	dynein heavy chain binding
Ssiderea242849	Transforming acidic coiled-coil-containing protein (TACC)
Ssiderea557937	pronephric nephron development
Ssiderea260358	Chromosome 9 open reading frame 156
Ssiderea240555	Transmembrane protein adipocyte-associated 1
Ssiderea221644	mevalonate kinase activity
Ssiderea250688	Belongs to the V-ATPase proteolipid subunit family
Ssiderea244010	positive regulation of cell-substrate adhesion
Ssiderea233774	Belongs to the G-protein coupled receptor 2 family
Ssiderea240660	membrane protein ectodomain proteolysis
Ssiderea261429	calcium ion binding. It is involved in the biological process described with actin crosslink formation
Ssiderea184924	Transient receptor potential cation channel subfamily M member
Ssiderea244831	positive regulation of plasminogen activation
Ssiderea226597	maturation of LSU-rRNA
Ssiderea248836	structural constituent of cytoskeleton
Ssiderea201472	double-strand break repair via alternative nonhomologous end joining
Ssiderea238396	tRNA methyltransferase 1 homolog (S. cerevisiae)
Ssiderea267274	Ribonuclease H protein
Ssiderea265874	negative regulation of secondary metabolite biosynthetic process
Ssiderea254969	N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase activity
Ssiderea237537	serotonin receptor activity
Ssiderea234467	IMP cyclohydrolase activity
Ssiderea263908	ubiquitin-like protein-specific protease activity
Ssiderea256407	female meiosis sister chromatid cohesion
Ssiderea224519	spermatogenesis-associated protein 17
Ssiderea212785	Ribosomal protein L31
Ssiderea241457	procollagen-proline 4-dioxygenase activity
Ssiderea269014	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family
Ssiderea446772	polyketide synthase
Ssiderea247576	sodium-coupled neutral amino acid transporter
Ssiderea596466	ATP binding
Ssiderea262575	G-protein coupled receptor
Ssiderea256515	sequence-specific DNA binding
Ssiderea244529	high mobility group
Ssiderea268604	thioesterase binding
Ssiderea263447	Belongs to the protein kinase superfamily
Ssiderea267065	fibroblast growth factor-activated receptor activity
Ssiderea239097	Heat shock 70 kDa protein 12A-like
Ssiderea263881	osteoclast fusion
Ssiderea262175	acyl-coenzyme A thioesterase
Ssiderea237775	motor activity
Ssiderea232861	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis
Ssiderea192145	heparan sulfate 2-O-sulfotransferase activity
Ssiderea256408	gene silencing
Ssiderea216501	maintenance of translational fidelity
Ssiderea224330	hyaluronic acid binding
Ssiderea242375	positive regulation of smooth muscle cell-matrix adhesion
Ssiderea244167	protein K33-linked ubiquitination
Ssiderea257706	cytoskeletal adaptor activity
Ssiderea243228	acid phosphatase activity
Ssiderea254838	scavenger receptor activity
Ssiderea264166	ligase E3B
Ssiderea264584	identical protein binding
Ssiderea169540	Acid-sensing ion channel 2-like
Ssiderea241598	glutathione hydrolase activity
Ssiderea232445	1-phosphatidylinositol binding
Ssiderea239147	mesenchymal-epithelial cell signaling involved in prostate gland development
Ssiderea246214	cis-stilbene-oxide hydrolase activity
Ssiderea257535	clathrin binding
Ssiderea230705	polyprenol biosynthetic process
Ssiderea208644	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Ssiderea253612	Ethylene-responsive protein kinase Le-CTR1
Ssiderea259569	Spermatogenesis-associated protein 20
Ssiderea261303	Fuzzy planar cell polarity protein
Ssiderea228362	Archease protein family (MTH1598/TM1083)
Ssiderea240709	cell migration
Ssiderea228526	serum amyloid
Ssiderea176235	MHC class II protein binding, via antigen binding groove
Ssiderea244465	Domain present in PSD-95, Dlg, and ZO-1/2.
Ssiderea245281	regulation of sperm capacitation
Ssiderea266562	cargo loading into COPII-coated vesicle
Ssiderea269691	belongs to the actin family
Ssiderea260464	TeTratriCopeptide repeat
Ssiderea250935	Belongs to the peptidase C19 family
Ssiderea232764	Far upstream element-binding protein
Ssiderea247448	Centrosomal protein of 97 kDa
Ssiderea223595	phosphate:proton symporter activity
Ssiderea265461	protein heterodimerization activity
Ssiderea218980	clathrin-dependent endocytosis
Ssiderea259488	family with sequence similarity 45, member A
Ssiderea240679	Sperm-tail PG-rich repeat
Ssiderea232762	-
Ssiderea238622	response to axon injury
Ssiderea243036	BTB POZ domain-containing protein 2
Ssiderea213860	ATPase activity, coupled to transmembrane movement of substances
Ssiderea191202	negative regulation of cellular response to hepatocyte growth factor stimulus
Ssiderea265737	Tetratricopeptide repeat protein
Ssiderea261646	Transmembrane and
Ssiderea250894	-
Ssiderea256298	thiamine pyrophosphate binding
Ssiderea240507	positive regulation of neural precursor cell proliferation
Ssiderea419584	7 transmembrane receptor (rhodopsin family)
Ssiderea242704	mutS protein homolog
Ssiderea200949	Small nuclear ribonucleoprotein
Ssiderea140760	ribosomal small subunit assembly
Ssiderea246686	BTB/POZ domain
Ssiderea566407	Epidermal growth factor-like domain.
Ssiderea249510	heterogeneous nuclear ribonucleoprotein
Ssiderea270642	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
Ssiderea261522	TIR domain
Ssiderea236751	Reverse transcriptase (RNA-dependent DNA polymerase)
Ssiderea561538	microtubule motor activity. It is involved in the biological process described with microtubule-based movement
Ssiderea252096	trafficking protein particle complex
Ssiderea263686	fibroblast growth factor-activated receptor activity
Ssiderea243154	regulation of cell shape
Ssiderea269106	Belongs to the G-protein coupled receptor 2 family
Ssiderea270488	Tho complex
Ssiderea271161	Carboxylesterase family
Ssiderea257926	calcium ion binding
Ssiderea268064	Transferase activity, transferring acyl groups other than amino-acyl groups
Ssiderea247073	Cytochrome P450, family 46, subfamily A, polypeptide
Ssiderea239104	mRNA processing
Ssiderea221873	L-pipecolate oxidase activity
Ssiderea227404	aldehyde dehydrogenase 8 family, member A1
Ssiderea527498	-
Ssiderea270162	5S rRNA binding
Ssiderea261854	cobalamin metabolic process
Ssiderea264425	rRNA (cytosine-N4-)-methyltransferase activity
Ssiderea258459	nucleic acid binding
Ssiderea267864	NF-kappaB binding
Ssiderea214040	Potassium channel subfamily K member
Ssiderea249129	HCLS1 binding protein 3
Ssiderea269200	metallopeptidase activity
Ssiderea260741	protein-containing complex binding
Ssiderea270498	activating signal cointegrator 1 complex subunit
Ssiderea266286	GTP binding. It is involved in the biological process described with
Ssiderea232923	K48-linked polyubiquitin modification-dependent protein binding
Ssiderea333233	DNA mismatch repair protein
Ssiderea231110	major facilitator superfamily
Ssiderea132366	MHC class II protein binding, via antigen binding groove
Ssiderea257034	organic anion transmembrane transporter activity
Ssiderea235377	extracellular ligand-gated ion channel activity
Ssiderea271639	Reverse transcriptase (RNA-dependent DNA polymerase)
Ssiderea233580	Zn_pept
Ssiderea258711	peptidyl-diphthamide biosynthetic process from peptidyl-histidine
Ssiderea249096	Coiled-coil domain containing 15
Ssiderea210490	superfamily. Protein
Ssiderea354687	DJ-1/PfpI family
Ssiderea49640	G-protein-coupled receptor proteolytic site domain
Ssiderea188692	Belongs to the heat shock protein 70 family
Ssiderea256049	anaphase-promoting complex binding
Ssiderea267529	Von Willebrand factor A
Ssiderea240529	Retinal pigment epithelial membrane protein
Ssiderea231880	Pyridoxal-phosphate dependent enzyme
Ssiderea268807	Phosphatidylinositol 4-kinase type
Ssiderea250742	Lactose-binding lectin l-2-like
Ssiderea227572	Tnf receptor-associated factor 2
Ssiderea244888	serine threonine kinase receptor associated protein
Ssiderea264184	Lipoxygenase
Ssiderea261324	ATP binding
Ssiderea259803	NAD/NADP octopine/nopaline dehydrogenase, alpha-helical domain
Ssiderea253569	phosphatase 5
Ssiderea230376	Chromosome 10 open reading frame 107
Ssiderea207027	peptidase activity
Ssiderea250841	mitotic cell cycle checkpoint
Ssiderea238269	Domain of unknown function (DUF4042)
Ssiderea584015	voltage-gated potassium channel activity
Ssiderea257616	C-type lectin (CTL) or carbohydrate-recognition domain (CRD)
Ssiderea242272	Family with sequence similarity 132, member B
Ssiderea269224	5'-AMP-activated protein kinase subunit
Ssiderea246126	Mitosis protein DIM1
Ssiderea264793	Ubiquitin conjugation factor E4
Ssiderea243889	regulation of vesicle fusion
Ssiderea215768	retinol dehydrogenase
Ssiderea238481	establishment or maintenance of cell polarity
Ssiderea148751	Actin
Ssiderea133085	Immunoglobulin C-2 Type
Ssiderea148277	G-protein coupled receptor activity
Ssiderea492561	Cathepsin Z
Ssiderea244477	histone H3 acetylation
Ssiderea242929	G-protein coupled receptor activity
Ssiderea390540	ATP-dependent microtubule motor activity, minus-end-directed
Ssiderea236099	Sacsin molecular chaperone
Ssiderea251422	isoform X1
Ssiderea149475	Component of the post-replicative DNA mismatch repair system (MMR)
Ssiderea266209	protein dimerization activity
Ssiderea224141	metal-dependent hydrolase with the TIM-barrel fold
Ssiderea247117	four-way junction helicase activity
Ssiderea197588	Persulfide dioxygenase ETHE1
Ssiderea178036	heavy chain 8
Ssiderea166943	Domain first found in C1r, C1s, uEGF, and bone morphogenetic protein.
Ssiderea214786	ganglioside GM2 binding
Ssiderea264419	Domain of unknown function (DUF4371)
Ssiderea205355	sequence-specific DNA binding
Ssiderea204608	Formyl transferase, C-terminal domain
Ssiderea254819	Transposase IS4
Ssiderea232655	structural constituent of ribosome
Ssiderea255815	Phosphodiesterase 2A, cGMP-stimulated
Ssiderea264344	ATP-dependent RNA helicase
Ssiderea256898	Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1-like
Ssiderea244632	Activin A receptor type
Ssiderea251964	carboxypeptidase Q
Ssiderea262718	asparagine catabolic process via L-aspartate
Ssiderea243333	embryonic brain development
Ssiderea241091	endoribonuclease activity, cleaving siRNA-paired mRNA
Ssiderea256317	positive regulation of protein localization to chromosome, telomeric region
Ssiderea234710	Belongs to the glycosyl hydrolase 18 family
Ssiderea259508	Structural maintenance of chromosomes
Ssiderea256908	forkhead box
Ssiderea342840	K02A2.6-like
Ssiderea263318	Sterile alpha motif.
Ssiderea253677	inner dynein arm assembly
Ssiderea246976	Diphthamide biosynthesis
Ssiderea239966	UTP biosynthetic process
Ssiderea267500	left/right axis specification
Ssiderea444195	Zinc ion binding. It is involved in the biological process described with chromatin modification
Ssiderea239586	Domain of unknown function (DUF4496)
Ssiderea253322	MFS_1 like family
Ssiderea249082	Binds the poly(A) tail of mRNA
Ssiderea252103	S100 protein binding
Ssiderea257077	four-way junction helicase activity
Ssiderea262872	May antagonize Nodal signaling and subsequent organization of axial structures during mesodermal patterning
Ssiderea260845	-
Ssiderea220582	Responsible for the deiodination of T4 (3,5,3',5'- tetraiodothyronine)
Ssiderea268044	-
Ssiderea222756	interleukin-3 receptor binding
Ssiderea248078	Cobalamin-independent synthase, Catalytic domain
Ssiderea211641	molybdate ion transmembrane transporter activity
Ssiderea258027	positive regulation of maintenance of mitotic sister chromatid cohesion
Ssiderea251265	Amine oxidase flavin-containing
Ssiderea262645	pseudouridine synthase activity
Ssiderea194697	Lysosomal
Ssiderea248173	pseudouridine synthase activity
Ssiderea246014	ABC-2 type transporter
Ssiderea417823	BCCT, betaine/carnitine/choline family transporter
Ssiderea243991	Belongs to the mitochondrial carrier (TC 2.A.29) family
Ssiderea252568	-
Ssiderea257767	Leucine-rich repeat
Ssiderea239084	Belongs to the alkaline phosphatase family
Ssiderea264268	calcium ion-regulated exocytosis of neurotransmitter
Ssiderea260655	Peptidase M16 inactive domain
Ssiderea252599	recycling endosome to Golgi transport
Ssiderea175346	Ribosomal protein S6 kinase
Ssiderea550284	ATP-dependent microtubule motor activity, minus-end-directed
Ssiderea246083	WD repeat domain 13
Ssiderea223826	DHHC palmitoyltransferase
Ssiderea257901	glycerophosphodiester phosphodiesterase 1
Ssiderea84228	phosphoric diester hydrolase activity
Ssiderea243964	2,4-dienoyl-CoA reductase (NADPH) activity
Ssiderea260029	subunit of the oligosaccharyltransferase complex
Ssiderea249362	regulation of podosome assembly
Ssiderea259518	protein localization to nucleoplasm
Ssiderea262110	rho guanine nucleotide exchange factor
Ssiderea478377	Fibrinogen-related domains (FReDs)
Ssiderea252445	beta-glucuronidase activity
Ssiderea243938	acetylcholine-gated cation-selective channel activity
Ssiderea238576	Coiled-coil domain containing 157
Ssiderea259372	Solute carrier family 13
Ssiderea270093	steroid hormone receptor activity
Ssiderea227962	Transcription elongation factor, mitochondrial
Ssiderea236950	tubulin-tyrosine ligase activity
Ssiderea224429	Thioredoxin domain-containing protein 9
Ssiderea261972	transcription by RNA polymerase III
Ssiderea3989	Kinesin motor, catalytic domain. ATPase.
Ssiderea262550	Neuronal acetylcholine receptor subunit
Ssiderea107186	cathepsin Z
Ssiderea249956	GTPase activator activity
Ssiderea250760	alpha/beta hydrolase fold
Ssiderea244074	7 transmembrane receptor (rhodopsin family)
Ssiderea229463	Kelch-like protein 17
Ssiderea247092	DUF4210
Ssiderea235730	secretion by lung epithelial cell involved in lung growth
Ssiderea265784	Heat shock 70 kDa protein 12A-like
Ssiderea269156	associated protein 1
Ssiderea263016	serine protease
Ssiderea268427	Ras GTPase-activating-like protein IQGAP1
Ssiderea259413	Reverse transcriptase (RNA-dependent DNA polymerase)
Ssiderea269422	cell surface receptor signaling pathway
Ssiderea250273	protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1
Ssiderea271029	phospholipase D activity
Ssiderea257053	scavenger receptor activity
Ssiderea235604	proteasome assembly
Ssiderea271271	positive regulation of termination of RNA polymerase II transcription, poly(A)-coupled
Ssiderea262767	ubiquitin-protein transferase activity
Ssiderea237709	sideroflexin
Ssiderea267378	Domain present in PSD-95, Dlg, and ZO-1/2.
Ssiderea260533	COG NOG15344 non supervised orthologous group
Ssiderea187249	negative regulation of non-canonical Wnt signaling pathway
Ssiderea244337	mRNA splicing, via spliceosome
Ssiderea265886	alkaline phosphatase activity
Ssiderea257192	amyloid precursor protein metabolic process
Ssiderea245161	amyloid-beta metabolic process
Ssiderea173031	serine transport
Ssiderea234451	Transposase IS4
Ssiderea256462	7 transmembrane receptor (rhodopsin family)
Ssiderea266656	zinc finger
Ssiderea260009	mitotic DNA replication checkpoint
Ssiderea258757	regulation of cell shape
Ssiderea248451	Patatin-like phospholipase
Ssiderea232519	heme binding
Ssiderea264045	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain
Ssiderea219741	Belongs to the actin family
Ssiderea260982	Immunoglobulin C-2 Type
Ssiderea266309	positive regulation of Arp2/3 complex-mediated actin nucleation
Ssiderea252324	metal ion binding
Ssiderea252236	unfolded protein binding
Ssiderea237472	polycystic kidney disease protein 1-like
Ssiderea269823	laminin subunit
Ssiderea225301	Proline dehydrogenase
Ssiderea255779	WD domain, G-beta repeat
Ssiderea379063	Catalyzes the rate-limiting step of the oxidative pentose-phosphate pathway, which represents a route for the dissimilation of carbohydrates besides glycolysis
Ssiderea237647	calmodulin-dependent protein kinase activity
Ssiderea161419	ADP biosynthetic process
Ssiderea239725	WD repeat-containing protein 91
Ssiderea245102	nucleic acid binding
Ssiderea232736	Belongs to the BI1 family
Ssiderea257107	3 iron, 4 sulfur cluster binding
Ssiderea265152	ER to Golgi vesicle-mediated transport
Ssiderea230472	ribonuclease T2 activity
Ssiderea249577	WD domain, G-beta repeat
Ssiderea229217	metalloendopeptidase activity
Ssiderea256838	POU domain, class 3, transcription factor
Ssiderea229173	cellular response to leukemia inhibitory factor
Ssiderea225569	malectin
Ssiderea504029	Belongs to the AAA ATPase family
Ssiderea253377	phosphatidylinositol-3,4-bisphosphate binding
Ssiderea550668	negative regulation of hepatocyte growth factor receptor signaling pathway
Ssiderea507052	positive regulation of cell-cell adhesion mediated by cadherin
Ssiderea266870	Reverse transcriptase (RNA-dependent DNA polymerase)
Ssiderea241244	DNA replication origin binding
Ssiderea261688	heme binding
Ssiderea107448	G-protein coupled receptor activity
Ssiderea141125	calcium-dependent cysteine-type endopeptidase activity
Ssiderea266659	saccharopine dehydrogenase (NAD+, L-lysine-forming) activity
Ssiderea246194	polysome binding
Ssiderea180919	PI-PLC X domain-containing protein
Ssiderea241132	Glycosyltransferase 1 domain-containing protein 1
