Ssiderea256452	guanine/thymine mispair binding
Ssiderea252180	Cyclic nucleotide-monophosphate binding domain
Ssiderea254357	K02A2.6-like
Ssiderea229644	Belongs to the mitochondrial carrier (TC 2.A.29) family
Ssiderea262137	negative regulation of toll-like receptor 9 signaling pathway
Ssiderea230225	ubiquitin-like protein ligase activity
Ssiderea257323	guanyl-nucleotide exchange factor activity
Ssiderea254465	Ribonuclease H protein
Ssiderea255055	spermatogenesis associated 4
Ssiderea262067	nuclear fragile X mental
Ssiderea257571	positive regulation of mitotic centrosome separation
Ssiderea257736	protein transport
Ssiderea237230	suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)
Ssiderea321803	Required for the assembly and or stability of the 40S ribosomal subunit. Required for the processing of the 20S rRNA- precursor to mature 18S rRNA in a late step of the maturation of 40S ribosomal subunits
Ssiderea261560	activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c
Ssiderea254824	exocyst assembly
Ssiderea234353	Sister chromatid cohesion protein PDS5 homolog
Ssiderea248284	glutathione-disulfide reductase activity
Ssiderea227950	dolichyl pyrophosphate Glc2Man9GlcNAc2 alpha-1,2-glucosyltransferase activity
Ssiderea254673	Carboxypeptidase
Ssiderea220640	BTB POZ domain-containing protein
Ssiderea239647	metalloaminopeptidase activity
Ssiderea257617	ATP-dependent microtubule motor activity, minus-end-directed
Ssiderea253967	CAAX-box protein maturation
Ssiderea48656	regulation of secretory granule organization
Ssiderea259156	Transposase IS4
Ssiderea309854	Cupin-like domain
Ssiderea255720	positive regulation of motile cilium assembly
Ssiderea235834	positive regulation of Arp2/3 complex-mediated actin nucleation
Ssiderea241853	Ubiquitin-binding domain
Ssiderea221743	spectrin binding
Ssiderea262284	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
Ssiderea261811	60s ribosomal protein
Ssiderea153331	Chaperone protein dnaJ 11
Ssiderea298986	serine-type endopeptidase activity
Ssiderea239862	Metalloendopeptidase activity. It is involved in the biological process described with proteolysis
Ssiderea229188	ATP-dependent microtubule motor activity, minus-end-directed
Ssiderea229575	frizzled binding
Ssiderea206997	Regulator of the Hippo SWH (Sav Wts Hpo) signaling pathway, a signaling pathway that plays a pivotal role in organ size control and tumor suppression by restricting proliferation and promoting apoptosis. The core of this pathway is composed of a kinase cascade wherein Hippo (Hpo), in complex with its regulatory protein Salvador (Sav), phosphorylates and activates Warts (Wts) in complex with its regulatory protein Mats, which in turn phosphorylates and inactivates the Yorkie (Yki) oncoprotein. Kibra acts synergistically along with Ex and Mer to regulate the Hippo signaling pathway
Ssiderea238102	positive regulation of protein tyrosine phosphatase activity
Ssiderea259600	Belongs to the cytochrome P450 family
Ssiderea254618	Tubulin folding cofactor E
Ssiderea209500	nonsense mediated mRNA decay factor
Ssiderea253064	peptidyl-threonine dephosphorylation
Ssiderea251004	DNA double-strand break processing
Ssiderea263805	Immunoglobulin C-2 Type
Ssiderea260776	G-protein coupled receptor activity
Ssiderea311633	Belongs to the ubiquitin-conjugating enzyme family
Ssiderea233339	nucleic acid-templated transcription
Ssiderea251948	ATP-dependent RNA helicase activity
Ssiderea242157	Ligand for members of the frizzled family of seven transmembrane receptors
Ssiderea259671	serine-type peptidase activity
Ssiderea75086	It is involved in the biological process described with ion transport
Ssiderea254875	peptidase inhibitor activity
Ssiderea249580	ubiquitin activating enzyme activity
Ssiderea252056	7 transmembrane receptor (rhodopsin family)
Ssiderea259052	Centrosomal protein
Ssiderea260105	Ribosome biogenesis protein BRX1 homolog
Ssiderea245757	alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase activity
Ssiderea246269	procollagen-proline 3-dioxygenase activity
Ssiderea250414	Voltage-sensitive calcium channels (VSCC) mediate the entry of calcium ions into excitable cells and are also involved in a variety of calcium-dependent processes, including muscle contraction, hormone or neurotransmitter release, gene expression, cell motility, cell division and cell death. The isoform alpha-1C gives rise to L-type calcium currents. Long-lasting (L-type) calcium channels belong to the 'high-voltage activated' (HVA) group. They are blocked by dihydropyridines (DHP), phenylalkylamines, benzothiazepines, and by omega-agatoxin-IIIA (omega-Aga-IIIA). They are however insensitive to omega-conotoxin- GVIA (omega-CTx-GVIA) and omega-agatoxin-IVA (omega-Aga-IVA). Calcium channels containing the alpha-1C subunit play an important role in excitation-contraction coupling in the heart. Binding of calmodulin or CABP1 at the same regulatory sites results in an opposit effects on the channel function
Ssiderea237736	heterochromatin maintenance
Ssiderea257886	Ribonuclease H protein
Ssiderea259992	ubiquitin-protein transferase activity
Ssiderea263704	huntingtin
Ssiderea260243	lysosomal lumen pH elevation
Ssiderea237110	medium-chain-acyl-CoA dehydrogenase activity
Ssiderea237766	XAP5, circadian clock regulator
Ssiderea250023	regulation of DNA-templated transcription in response to stress
Ssiderea234264	structural constituent of muscle
Ssiderea261160	Tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase
Ssiderea253134	non-motile cilium assembly
Ssiderea258061	GTPase activity
Ssiderea185445	Von Hippel-Lindau disease tumor
Ssiderea250653	adenosine deaminase-like
Ssiderea262424	Apoptosis-stimulating of p53 protein
Ssiderea247236	Belongs to the syntaxin family
Ssiderea254339	exonuclease
Ssiderea225034	May play a role in anchoring the cytoskeleton to the plasma membrane
Ssiderea161759	Endonuclease/Exonuclease/phosphatase family
Ssiderea247120	NHP2 non-histone chromosome protein 2-like 1 (S. cerevisiae)
Ssiderea261499	Von Willebrand factor A
Ssiderea246608	receptor-associated protein-like 2
Ssiderea262760	polycystic kidney disease protein 1-like
Ssiderea173206	assembly of large subunit precursor of preribosome
Ssiderea222507	Binds to the 60S ribosomal subunit and prevents its association with the 40S ribosomal subunit to form the 80S initiation complex in the cytoplasm. May also be involved in ribosome biogenesis
Ssiderea298248	D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain
Ssiderea255165	calcium ion binding
Ssiderea255998	positive regulation of neural precursor cell proliferation
Ssiderea239023	heme binding
Ssiderea248801	Fanconi anemia group M
Ssiderea261786	DNA topoisomerase type I activity
Ssiderea259789	rho guanine nucleotide exchange factor
Ssiderea255696	testis expressed 1
Ssiderea212744	translation regulator activity
Ssiderea230688	Belongs to the importin alpha family
Ssiderea250884	phosphatidylethanolamine catabolic process
Ssiderea240619	Leucine Rich repeat
Ssiderea257882	oxidoreductase activity, oxidizing metal ions, oxygen as acceptor
Ssiderea263149	microtubule plus-end binding
Ssiderea225415	negative regulation of epithelial cell proliferation
Ssiderea132857	BCCT, betaine/carnitine/choline family transporter
Ssiderea260049	L-ornithine transmembrane transport
Ssiderea243907	protein targeting to lysosome
Ssiderea242522	60s ribosomal protein
Ssiderea240625	Galactose oxidase, central domain
Ssiderea209178	DNA double-strand break processing
Ssiderea223674	guanyl-nucleotide exchange factor activity
Ssiderea248425	regulation of chromosome separation
Ssiderea243395	zinc ion binding
Ssiderea260363	Putative DNA-binding domain in centromere protein B, mouse jerky and transposases.
Ssiderea235054	Possible lysine decarboxylase
Ssiderea235081	protein-FAD linkage
Ssiderea245920	glutathione hydrolase activity
Ssiderea253037	Exportin 6
Ssiderea240348	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
Ssiderea247566	apoptotic process
Ssiderea253914	protein localization to nucleoplasm
Ssiderea252044	Catalyzes the formation of N(7)-methylguanine at position 46 (m7G46) in tRNA
Ssiderea305567	skeletal muscle myosin thick filament assembly
Ssiderea256200	mitochondrial large ribosomal subunit assembly
Ssiderea256240	histone dephosphorylation
Ssiderea230356	negative regulation of smooth muscle cell differentiation
Ssiderea230109	Grap2 and cyclin-D-interacting
Ssiderea257169	chromatin remodeling
Ssiderea240431	-
Ssiderea240760	transcription by RNA polymerase I
Ssiderea249440	glycoprotein 6-alpha-L-fucosyltransferase activity
Ssiderea209768	transporter activity
Ssiderea257649	nucleosome binding
Ssiderea260035	positive regulation of Golgi to plasma membrane protein transport
Ssiderea235749	histone deacetylation
Ssiderea256451	Rac guanyl-nucleotide exchange factor activity
Ssiderea246000	X-box binding protein 1
Ssiderea246244	vacuolar transport
Ssiderea239467	phosphatidate phosphatase activity
Ssiderea196509	histone acetyl-transferase
Ssiderea247655	adenyl-nucleotide exchange factor activity
Ssiderea263035	condensed mesenchymal cell proliferation
Ssiderea258207	betaine-homocysteine S-methyltransferase activity
Ssiderea257686	Belongs to the glycosyltransferase 43 family
Ssiderea257263	-
Ssiderea240229	Ferredoxin--NADP reductase
Ssiderea261820	serine threonine-protein phosphatase
Ssiderea253240	determination of digestive tract left/right asymmetry
Ssiderea225082	belongs to the protein kinase superfamily
Ssiderea257012	cytochrome-b5 reductase activity, acting on NAD(P)H
Ssiderea247351	ROK family
Ssiderea248333	Zgc 136858
Ssiderea261227	Microtubule associated serine threonine
Ssiderea236553	Sclerostin (SOST)
Ssiderea255139	Flavin containing amine oxidoreductase
Ssiderea251512	gamma-aminobutyric acid:sodium symporter activity
Ssiderea338899	hydrolase activity
Ssiderea262183	very long-chain fatty acid-CoA ligase activity
Ssiderea237456	serine-type endopeptidase activity
Ssiderea258614	phenylalanyl-tRNA aminoacylation
Ssiderea255111	asparaginase activity
Ssiderea240482	cilium assembly
Ssiderea306337	transferase activity, transferring hexosyl groups
Ssiderea262669	Src homology 3 domains
Ssiderea249961	cellular protein-containing complex localization
Ssiderea237742	motor activity
Ssiderea228934	store-operated calcium channel activity
Ssiderea226796	organic anion transmembrane transporter activity
Ssiderea248380	neuropeptide receptor activity
Ssiderea255522	nucleic acid binding
Ssiderea243324	Class II Aldolase and Adducin N-terminal domain
Ssiderea249241	histone H2A-K119 monoubiquitination
Ssiderea181626	dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase activity
Ssiderea252347	Protein similar to CwfJ C-terminus 1
Ssiderea247547	Glucan (1,4-alpha-), branching enzyme 1
Ssiderea250070	18S rRNA (adenine(1779)-N(6)/adenine(1780)-N(6))-dimethyltransferase activity
Ssiderea211249	ATP-dependent microtubule motor activity, minus-end-directed
Ssiderea252391	beta-galactosidase activity
Ssiderea258960	protein insertion into ER membrane
Ssiderea222825	SCP / Tpx-1 / Ag5 / PR-1 / Sc7 family of extracellular domains.
Ssiderea263122	ATP-dependent microtubule motor activity, minus-end-directed
Ssiderea241420	Immunoglobulin-binding protein
Ssiderea62905	Angel homolog
Ssiderea261928	glyceryl-ether monooxygenase activity
Ssiderea319300	nucleolus organization
Ssiderea261744	Centrosomal protein
Ssiderea245605	D5 dopamine receptor binding
Ssiderea251050	-
Ssiderea249786	WD repeat domain 78
Ssiderea251331	RAB, member of RAS oncogene family-like 3
Ssiderea198886	Growth differentiation factor 7
Ssiderea225883	sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase activity
Ssiderea181962	Signal recognition particle receptor
Ssiderea241442	transposition, RNA-mediated
Ssiderea236640	protein serine/threonine kinase activity
Ssiderea250189	fatty acid synthase
Ssiderea243204	Gamma-aminobutyric acid type B receptor subunit 2
Ssiderea98472	peptidyl-dipeptidase activity
Ssiderea255598	Involved in the biogenesis of the 60S ribosomal subunit
Ssiderea260041	spindle assembly
Ssiderea250710	Polycystin cation channel
Ssiderea255752	methenyltetrahydrofolate synthetase domain containing
Ssiderea255675	enzyme subunit 1
Ssiderea233748	Protein phosphatase 2C
Ssiderea262913	amino acid activation for nonribosomal peptide biosynthetic process
Ssiderea262443	clathrin binding
Ssiderea243585	glycogen synthase
Ssiderea224136	G-protein coupled receptor activity
Ssiderea255844	nucleoside transmembrane transporter activity
Ssiderea240273	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile
Ssiderea247118	regulation of translation
Ssiderea249386	DDE superfamily endonuclease
Ssiderea263749	Moloney leukemia virus 10, homolog
Ssiderea257698	Mannose-6-phosphate receptor
Ssiderea261047	intraciliary retrograde transport
Ssiderea260204	superoxide-generating NADPH oxidase activator activity
Ssiderea261794	Heat shock 70 kDa protein 12A-like
Ssiderea257102	calcium ion transmembrane transport
Ssiderea251695	Sodium/calcium exchanger protein
Ssiderea241814	stress-activated protein kinase signaling cascade
Ssiderea242574	Methylmalonic aciduria (Cobalamin deficiency) cblC type, with homocystinuria
Ssiderea257299	nucleic acid-templated transcription
Ssiderea253811	L-iditol 2-dehydrogenase activity
Ssiderea53004	histone serine kinase activity
Ssiderea246589	-
Ssiderea241427	folate import across plasma membrane
Ssiderea253799	protein serine/threonine kinase activity
Ssiderea240310	ATP binding
Ssiderea235782	Synaptic vesicle 2-related protein
Ssiderea252087	negative regulation of mRNA splicing, via spliceosome
Ssiderea261284	regulation of vesicle fusion
Ssiderea230002	thiol-dependent ubiquitin-specific protease activity
Ssiderea259132	regulation of mitotic cell cycle
Ssiderea240416	quinolinate catabolic process
Ssiderea253745	Lymphoid-restricted membrane protein
Ssiderea228915	Maelstrom spermatogenic transposon silencer
Ssiderea262690	DNA methylation involved in gamete generation
Ssiderea249455	Involved in intracellular signal transduction mediated by cytokines and growth factors. When associated with STAM, it suppresses DNA signaling upon stimulation by IL-2 and GM-CSF. Could be a direct effector of PI3-kinase in vesicular pathway via early endosomes and may regulate trafficking to early and late endosomes by recruiting clathrin. May concentrate ubiquitinated receptors within clathrin-coated regions. Involved in down- regulation of receptor tyrosine kinase via multivesicular body (MVBs) when complexed with STAM (ESCRT-0 complex). The ESCRT-0 complex binds ubiquitin and acts as sorting machinery that recognizes ubiquitinated receptors and transfers them to further sequential lysosomal sorting trafficking processes. May contribute to the efficient recruitment of SMADs to the activin receptor complex. Involved in receptor recycling via its association with the CART complex, a multiprotein complex required for efficient transferrin receptor recycling but not for EGFR degradation
Ssiderea259415	ATP-dependent RNA helicase
Ssiderea260389	Diacylglycerol kinase catalytic domain
Ssiderea249780	positive regulation of spontaneous neurotransmitter secretion
Ssiderea224849	endocytosis
Ssiderea261567	chromosome condensation
Ssiderea242856	Rab guanyl-nucleotide exchange factor activity
Ssiderea224912	gamma-aminobutyric acid type B receptor subunit
Ssiderea258096	spindle assembly
Ssiderea19459	Carboxylesterase family
Ssiderea164432	Reverse transcriptase (RNA-dependent DNA polymerase)
Ssiderea204074	ubiquitin-protein transferase activity
Ssiderea258035	Catalytic LigB subunit of aromatic ring-opening dioxygenase
Ssiderea255740	Leucine-rich PPR motif-containing protein, mitochondrial
Ssiderea227193	-
Ssiderea263164	K02A2.6-like
Ssiderea249216	Zinc finger C4H2
Ssiderea258563	histone H3-K9 dimethylation
Ssiderea256625	regulation of cardiac conduction
Ssiderea239872	LicD family
Ssiderea208241	protein K33-linked ubiquitination
Ssiderea263111	Small fragment nuclease
Ssiderea257156	Microprocessor complex subunit
Ssiderea260416	ELKS RAB6-interacting CAST family member
Ssiderea181765	N,N-dimethylaniline monooxygenase activity
Ssiderea416266	negative regulation of asymmetric cell division
Ssiderea240072	heme binding
Ssiderea260525	3-hydroxyanthranilate 3,4-dioxygenase activity
Ssiderea262237	K02A2.6-like
Ssiderea236428	Component of the MITRAC (mitochondrial translation regulation assembly intermediate of cytochrome c oxidase complex) complex, that regulates cytochrome c oxidase assembly
Ssiderea237691	regulation of granulosa cell apoptotic process
Ssiderea405672	negative regulation of vascular endothelial growth factor receptor signaling pathway
Ssiderea250432	A-type (transient outward) potassium channel activity
Ssiderea250348	G-protein coupled receptor activity
Ssiderea239124	retrograde transport, endosome to plasma membrane
Ssiderea247731	nicotinamide phosphoribosyltransferase activity
Ssiderea237835	pyruvate kinase activity
Ssiderea240620	Collagen beta(1-O)galactosyltransferase 2
Ssiderea233444	Non-homologous end-joining factor
Ssiderea258146	thyroid hormone transmembrane transporter activity
Ssiderea259663	photoreceptor cell morphogenesis
Ssiderea256411	intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress
Ssiderea243087	histidinol-phosphate transaminase activity
Ssiderea255618	Domain of unknown function (DUF296)
Ssiderea255545	protein disulfide isomerase activity
Ssiderea10994	actin filament network formation
Ssiderea261472	acetylcholine-gated cation-selective channel activity
Ssiderea245007	Nuclear pore complex protein
Ssiderea270123	Luc7-like protein 3
Ssiderea237112	It is involved in the biological process described with
Ssiderea213858	YTH domain family
Ssiderea244060	Responsible for the deiodination of T4 (3,5,3',5'- tetraiodothyronine)
Ssiderea260848	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity
Ssiderea225561	non-membrane spanning protein tyrosine kinase activity
Ssiderea261947	ATP binding
Ssiderea252371	prolyl 4-hydroxylase
Ssiderea260066	Mitochondrial GTPase involved in mitochondrial trafficking
Ssiderea312898	Glycosyl transferase family 8
Ssiderea255758	protein K33-linked ubiquitination
Ssiderea262830	Src homology 3 domains
Ssiderea253259	Protein of unknown function (DUF4551)
Ssiderea261173	O-methyltransferase-like
Ssiderea204969	serine-type endopeptidase activity
Ssiderea257900	ubiquitin binding
Ssiderea223418	Vesicle transport protein
Ssiderea480271	serine threonine-protein phosphatase
Ssiderea259576	sodium:bicarbonate symporter activity
Ssiderea246124	Eukaryotic translation elongation factor 1 alpha
Ssiderea217820	dynein light chain binding
Ssiderea279747	Ferredoxins are iron-sulfur proteins that transfer electrons in a wide variety of metabolic reactions
Ssiderea259933	Vacuolar sorting protein 9 (VPS9) domain
Ssiderea253405	Ion transport protein
Ssiderea262885	poly(U) RNA binding
Ssiderea246971	intracellular chloride channel activity
Ssiderea262329	histidine transport
Ssiderea160894	transmembrane transport
Ssiderea243972	synaptic vesicle uncoating
Ssiderea233679	galactosyltransferase activity
Ssiderea247717	NADP-retinol dehydrogenase activity
Ssiderea244753	cAMP binding
Ssiderea241726	tRNA methyltransferase activity
Ssiderea262070	phospholipid scrambling
Ssiderea256854	mRNA transcription
Ssiderea233211	-
Ssiderea258768	The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH
Ssiderea251991	alpha-catenin binding
Ssiderea259456	xylosyltransferase
Ssiderea237776	negative regulation of wound healing, spreading of epidermal cells
Ssiderea247885	Neuroblastoma amplified sequence
Ssiderea261873	Cobalamin-independent synthase, Catalytic domain
Ssiderea246071	Glycosyl hydrolases family 16
Ssiderea239967	positive regulation of epithelial to mesenchymal transition
Ssiderea253680	mitogen-activated protein kinase
Ssiderea251479	phosphorylation of RNA polymerase II C-terminal domain
Ssiderea260297	Universal stress protein family
Ssiderea236308	DIS3 exosome endoribonuclease and 3'-5' exoribonuclease
Ssiderea257610	RNA phosphodiester bond hydrolysis, exonucleolytic
Ssiderea241454	Ndr family
Ssiderea228294	deoxyhypusine synthase activity
Ssiderea263444	Protein phosphatase PTC7 homolog
Ssiderea211575	EMSY, BRCA2 interacting transcriptional repressor
Ssiderea227372	Isocitrate lyase family
Ssiderea258327	chromosome passenger complex localization to kinetochore
Ssiderea258230	mitochondrial fusion
Ssiderea258107	Guanine nucleotide exchange factor for Ras-like small GTPases
Ssiderea223892	peroxiredoxin activity
Ssiderea251305	Domain present in PSD-95, Dlg, and ZO-1/2.
Ssiderea129168	Endonuclease/Exonuclease/phosphatase family
Ssiderea262008	Belongs to the ubiquitin-conjugating enzyme family
Ssiderea252093	Amidohydrolase family
Ssiderea247377	acid phosphatase activity
Ssiderea247777	thiol-dependent ubiquitin-specific protease activity
Ssiderea223409	zinc ion binding
Ssiderea216051	heme binding. It is involved in the biological process described with oxidation-reduction process
Ssiderea236923	SOCS box
Ssiderea251597	DNA mismatch repair protein
Ssiderea258603	Belongs to the peptidase S1 family
Ssiderea239762	Belongs to the peptidase M10A family
Ssiderea261185	WASH complex subunit
Ssiderea243239	cell cycle arrest
Ssiderea254767	positive regulation of cell cycle G2/M phase transition
Ssiderea252304	xanthosine 5'-triphosphate (XTP) to their respective monophosphate derivatives. The enzyme does not distinguish between the deoxy- and ribose forms. Probably excludes non-canonical purines from RNA and DNA precursor pools, thus preventing their incorporation into RNA and DNA and avoiding chromosomal lesions
Ssiderea232236	UDP-sugar diphosphatase activity
Ssiderea257530	tubulin-tyrosine ligase activity
Ssiderea253448	protein-glutamine gamma-glutamyltransferase activity
Ssiderea247502	Synaptotagmin
Ssiderea250872	GTPase activator activity
Ssiderea330479	calcium ion binding
Ssiderea253548	Transmembrane channel-like
Ssiderea235272	glycine biosynthetic process from serine
Ssiderea262568	mitogen-activated protein kinase kinase binding
Ssiderea253168	Deleted in malignant brain tumors 1
Ssiderea252966	cation transmembrane transporter activity
Ssiderea246286	general transcription factor
Ssiderea219200	calcium ion binding
Ssiderea256020	Phosphoethanolamine methyltransferase
Ssiderea253957	trans-hexaprenyltranstransferase activity
Ssiderea233382	Pyruvate Dehydrogenase Phosphatase Regulatory subunit
Ssiderea213435	Ras family
Ssiderea466995	neurotransmitter receptor localization to postsynaptic specialization membrane
Ssiderea146315	Ubiquitin carboxyl-terminal hydrolase
Ssiderea241332	Low density lipoprotein receptor
Ssiderea242434	Galactose oxidase, central domain
Ssiderea220802	metalloendopeptidase activity
Ssiderea257833	coproporphyrinogen oxidase activity
Ssiderea245820	mRNA export
Ssiderea245639	Ral guanine nucleotide dissociation stimulator,-like 1
Ssiderea244314	Hydrolyzes ATP, and can also hydrolyze GTP with lower efficiency. Has lower affinity for GTP
Ssiderea233525	May play an essential role at the early stage of chromosomal DNA replication by coupling the polymerase alpha primase complex to the cellular replication machinery
Ssiderea251341	(R)-3-amino-2-methylpropionate-pyruvate transaminase activity
Ssiderea235300	serine-type endopeptidase inhibitor activity
Ssiderea246663	negative regulation of adiponectin secretion
Ssiderea244261	guanyl-nucleotide exchange factor activity
Ssiderea256186	high voltage-gated calcium channel activity
Ssiderea113433	Pleckstrin homology domain.
Ssiderea221789	extracellularly glycine-gated chloride channel activity
Ssiderea257268	alpha-1A adrenergic receptor binding
Ssiderea232037	Patched family
Ssiderea261497	N-acylglucosamine 2-epimerase activity
Ssiderea331913	voltage-gated potassium channel activity
Ssiderea257509	Poly (ADP-ribose) polymerase
Ssiderea118924	cilium organization
Ssiderea232041	Domain abundant in complement control proteins; SUSHI repeat; short complement-like repeat (SCR)
Ssiderea203020	negative regulation of histone H3-K27 methylation
Ssiderea233006	ligand-gated sodium channel activity
Ssiderea368238	-
Ssiderea257222	Rhotekin 2
Ssiderea202520	Thyroglobulin
Ssiderea263604	chloride channel
Ssiderea242192	mannosyl-oligosaccharide glucosidase activity
Ssiderea260926	G-protein coupled receptor activity
Ssiderea200748	DNA binding
Ssiderea239613	cAMP-dependent protein kinase activity
Ssiderea215983	structural constituent of cuticle
Ssiderea259424	negative regulation of chemokine (C-X-C motif) ligand 2 production
Ssiderea246743	axis elongation
Ssiderea255035	protein-arginine omega-N asymmetric methyltransferase activity
Ssiderea244926	spongiotrophoblast layer development
Ssiderea243892	RNA splicing
Ssiderea253890	anaphase-promoting complex-dependent catabolic process
Ssiderea258336	Transport and Golgi organization
Ssiderea218973	ATP-dependent microtubule motor activity, minus-end-directed
Ssiderea254834	response to vitamin B1
Ssiderea261768	calmodulin binding
Ssiderea261344	PHD finger protein 3
Ssiderea236671	RNA binding
Ssiderea252580	beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase activity
Ssiderea194269	Small nuclear ribonucleoprotein
Ssiderea408567	Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides
Ssiderea237849	DiGeorge syndrome critical region gene 14
Ssiderea238068	Common central domain of tyrosinase
Ssiderea261737	-
Ssiderea251825	Cyclic nucleotide-monophosphate binding domain
Ssiderea258688	endosomal transport
Ssiderea262361	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family
Ssiderea304179	Cobalamin synthesis protein cobW C-terminal domain
Ssiderea262256	L-2-hydroxyglutarate dehydrogenase
Ssiderea256046	DN3 thymocyte differentiation
Ssiderea259175	negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage
Ssiderea251379	Ion channel
Ssiderea250990	Protein rolling stone-like
Ssiderea231448	ATP-dependent RNA helicase
Ssiderea220478	Chromosome 1 open reading frame 123
Ssiderea250332	tripartite motif containing
Ssiderea64414	It is involved in the biological process described with metabolic process
Ssiderea236891	serine-type endopeptidase activity
Ssiderea238455	Profilin
Ssiderea69366	Ribosomal protein L6
Ssiderea225665	sequence-specific DNA binding
Ssiderea223608	Janus kinase and
Ssiderea205903	Signal recognition particle 19
Ssiderea349442	Neurotransmitter-gated ion-channel ligand binding domain
Ssiderea228773	acyl-coenzyme A thioesterase
Ssiderea239978	RNA splicing
Ssiderea261761	Sulfate transmembrane transporter activity. It is involved in the biological process described with sulfate transport
Ssiderea238584	BR serine threonine kinase 2
Ssiderea243684	Belongs to the glycosyltransferase 43 family
Ssiderea246509	Cyclin G associated kinase
Ssiderea230049	eukaryotic initiation factor 4E binding
Ssiderea254659	serine racemase
Ssiderea244516	prostaglandin-F synthase activity
Ssiderea142709	G-protein coupled receptor activity
Ssiderea254720	regulation of actin phosphorylation
Ssiderea223908	Pfam:zf-DHHC
Ssiderea254631	aromatic amino acid family metabolic process
Ssiderea241078	Deleted in primary ciliary dyskinesia homolog (mouse)
Ssiderea230853	calcium ion-regulated exocytosis of neurotransmitter
Ssiderea220704	ubiquitin-dependent protein catabolic process via the N-end rule pathway
Ssiderea259536	endoplasmic reticulum-plasma membrane tethering
Ssiderea235217	frizzled binding
Ssiderea259090	Belongs to the helicase family. RecQ subfamily
Ssiderea46787	ABC transporter
Ssiderea263616	maturation of SSU-rRNA
Ssiderea257956	sequence-specific DNA binding
Ssiderea243004	erythroblast transformation specific domain
Ssiderea244015	N,N-dimethylaniline monooxygenase activity
Ssiderea255730	ubiquitin protein ligase binding
Ssiderea216449	dynein light chain binding
Ssiderea263461	rRNA (cytosine-N4-)-methyltransferase activity
Ssiderea249488	casein kinase
Ssiderea185814	acetylcholine-gated cation-selective channel activity
Ssiderea262634	-
Ssiderea249842	Sterile alpha motif (SAM)/Pointed domain
Ssiderea258553	elongation factor-2 kinase activity
Ssiderea243820	exocytosis
Ssiderea240749	steroid binding
Ssiderea256215	monooxygenase activity
Ssiderea261746	intracellular chloride channel activity
Ssiderea98387	metalloendopeptidase activity
Ssiderea251608	C-terminal of Roc, COR, domain
Ssiderea254041	7 transmembrane receptor (rhodopsin family)
Ssiderea261645	ADAM-TS Spacer 1
Ssiderea258076	NACHT and WD repeat
Ssiderea231497	Ubiquitin-2 like Rad60 SUMO-like
Ssiderea399153	carbohydrate binding
Ssiderea221046	nuclease activity
Ssiderea216240	negative regulation of epithelial cell proliferation
Ssiderea248457	serine-type exopeptidase activity
Ssiderea295873	Domain of unknown function (DUF1966)
Ssiderea261361	Proprotein convertase P-domain
Ssiderea257785	Pyruvate formate lyase-like
Ssiderea255239	cellular response to nitroglycerin
Ssiderea259708	serine-type endopeptidase activity
Ssiderea209741	metalloendopeptidase activity
Ssiderea244141	Phosphate cytidylyltransferase 2, ethanolamine
Ssiderea242202	sequestering of actin monomers
Ssiderea257769	clathrin light chain binding
Ssiderea245056	ubiquitin-ubiquitin ligase activity
Ssiderea228807	Family with sequence similarity 193, member A
Ssiderea226609	regulation of mitotic spindle organization
Ssiderea224419	transferase activity, transferring acyl groups
Ssiderea235135	helicase activity
Ssiderea258169	Domain in homologues of a S. cerevisiae phosphatidylinositol transfer protein (Sec14p)
Ssiderea242022	ribosomal protein
Ssiderea244183	gamma-aminobutyric acid:proton symporter activity
Ssiderea60272	guanylate cyclase activity
Ssiderea253400	positive regulation of neural precursor cell proliferation
Ssiderea225770	dynein light chain binding
Ssiderea218507	structural constituent of cuticle
Ssiderea413059	2-oxoacid dehydrogenases acyltransferase (catalytic domain)
Ssiderea244960	transmembrane transport
